LABEL = d36_ds36_nl900_m50_w50
CHUNK_DIR = results/bootstrap_runs/d36_ds36_nl900_m50_w50/chunk_summaries
OUT_DIR = results/bootstrap_runs/d36_ds36_nl900_m50_w50/sd_diagnostics
Number of runs = 186
SORT_BOOT_SD = True
INCLUDE_SUMMARY_BAR = True

Multi-run NS SD = 0.2863021273
Mean bootstrap SD = 0.2692622438
Median bootstrap SD = 0.2692047491
Mean bootstrap SD / multi-run SD = 0.9404828611
Median bootstrap SD / multi-run SD = 0.9402820428

Per-run bootstrap SDs:
 Run 001: 0.2691092850
 Run 002: 0.2591374805
 Run 003: 0.2361328874
 Run 004: 0.2565285531
 Run 005: 0.2732381168
 Run 006: 0.2773000344
 Run 007: 0.2748658310
 Run 008: 0.2850944185
 Run 009: 0.2767447038
 Run 010: 0.2752949131
 Run 011: 0.2902841229
 Run 012: 0.2670549213
 Run 013: 0.2617279384
 Run 014: 0.2442525118
 Run 015: 0.2534117444
 Run 016: 0.2831227775
 Run 017: 0.2657353694
 Run 018: 0.2568325227
 Run 019: 0.2809161203
 Run 020: 0.2668079220
 Run 021: 0.2853788013
 Run 022: 0.2563588117
 Run 023: 0.2949918929
 Run 024: 0.2374916186
 Run 025: 0.2943063456
 Run 026: 0.2547974818
 Run 027: 0.2632109921
 Run 028: 0.2957915298
 Run 029: 0.2353631778
 Run 030: 0.2778659813
 Run 031: 0.2585129739
 Run 032: 0.2750040494
 Run 033: 0.2579823499
 Run 034: 0.2664345504
 Run 035: 0.2688104171
 Run 036: 0.2724626776
 Run 037: 0.2499787241
 Run 038: 0.2989892324
 Run 039: 0.2439322315
 Run 040: 0.2592424919
 Run 041: 0.2776531404
 Run 042: 0.2933565367
 Run 043: 0.2741554275
 Run 044: 0.2695191661
 Run 045: 0.2781780278
 Run 046: 0.2767250527
 Run 047: 0.2723888185
 Run 048: 0.2536362004
 Run 049: 0.2698646472
 Run 050: 0.2505527416
 Run 051: 0.2910625892
 Run 052: 0.3132729171
 Run 053: 0.2678476916
 Run 054: 0.2763850016
 Run 055: 0.2762664377
 Run 056: 0.2801037753
 Run 057: 0.2864010741
 Run 058: 0.2811306184
 Run 059: 0.2477983753
 Run 060: 0.2723081545
 Run 061: 0.2595051265
 Run 062: 0.2603887281
 Run 063: 0.2786495670
 Run 064: 0.2693002131
 Run 065: 0.2762027160
 Run 066: 0.2752524047
 Run 067: 0.2559787663
 Run 068: 0.2644395731
 Run 069: 0.2630603991
 Run 070: 0.2620658449
 Run 071: 0.2481958131
 Run 072: 0.2714065617
 Run 073: 0.2657967043
 Run 074: 0.2675452753
 Run 075: 0.2760475626
 Run 076: 0.2722604314
 Run 077: 0.2704852038
 Run 078: 0.2868900324
 Run 079: 0.2742582528
 Run 080: 0.2520902805
 Run 081: 0.2616031764
 Run 082: 0.2813905380
 Run 083: 0.2716302009
 Run 084: 0.2376651803
 Run 085: 0.2593455659
 Run 086: 0.2619477691
 Run 087: 0.2851167992
 Run 088: 0.2712704032
 Run 089: 0.2524692470
 Run 090: 0.2650144347
 Run 091: 0.2610953211
 Run 092: 0.2695864416
 Run 093: 0.2701016382
 Run 094: 0.2803131297
 Run 095: 0.2624381294
 Run 096: 0.2794574995
 Run 097: 0.2771937502
 Run 098: 0.2597841481
 Run 099: 0.2487804267
 Run 100: 0.2766512587
 Run 101: 0.2432825793
 Run 102: 0.2620642402
 Run 103: 0.2617250422
 Run 104: 0.2656479886
 Run 105: 0.2711634880
 Run 106: 0.2594094153
 Run 107: 0.2970773926
 Run 108: 0.2487794933
 Run 109: 0.2510729008
 Run 110: 0.2540298659
 Run 111: 0.2873406781
 Run 112: 0.2850976287
 Run 113: 0.2676268341
 Run 114: 0.2715125609
 Run 115: 0.2641280644
 Run 116: 0.2729379285
 Run 117: 0.2625562388
 Run 118: 0.2707512798
 Run 119: 0.2832467023
 Run 120: 0.3100987114
 Run 121: 0.2677934635
 Run 122: 0.2606414059
 Run 123: 0.2544290167
 Run 124: 0.2925237969
 Run 125: 0.2740851616
 Run 126: 0.2755557388
 Run 127: 0.2636218262
 Run 128: 0.2757093070
 Run 129: 0.2467865958
 Run 130: 0.2626152165
 Run 131: 0.2628912304
 Run 132: 0.2630920436
 Run 133: 0.2676365929
 Run 134: 0.2879549497
 Run 135: 0.2755141871
 Run 136: 0.2556281135
 Run 137: 0.2510513955
 Run 138: 0.2727587160
 Run 139: 0.2951954436
 Run 140: 0.2647695082
 Run 141: 0.2860465688
 Run 142: 0.2793714795
 Run 143: 0.2902135796
 Run 144: 0.2839428610
 Run 145: 0.2526288059
 Run 146: 0.2930948761
 Run 147: 0.2845746066
 Run 148: 0.2850761515
 Run 149: 0.2781205487
 Run 150: 0.2478539308
 Run 151: 0.2726002439
 Run 152: 0.2669710982
 Run 153: 0.2734234859
 Run 154: 0.2794864848
 Run 155: 0.2527706219
 Run 156: 0.2657673325
 Run 157: 0.2606041271
 Run 158: 0.2794567136
 Run 159: 0.2491856144
 Run 160: 0.2838433046
 Run 161: 0.2997489193
 Run 162: 0.2639968304
 Run 163: 0.2672775259
 Run 164: 0.2510782370
 Run 165: 0.2470312974
 Run 166: 0.2648399040
 Run 167: 0.2607400821
 Run 168: 0.3008908322
 Run 169: 0.2567992683
 Run 170: 0.2933143247
 Run 171: 0.2753579955
 Run 172: 0.2494101280
 Run 173: 0.2682662097
 Run 174: 0.2529947848
 Run 175: 0.2815517785
 Run 176: 0.2559687828
 Run 177: 0.2661272421
 Run 178: 0.2765079695
 Run 179: 0.2783838044
 Run 180: 0.2804246626
 Run 181: 0.2630716201
 Run 182: 0.2548822892
 Run 183: 0.2515105603
 Run 184: 0.2638939773
 Run 185: 0.2703861685
 Run 186: 0.2717075584

Saved files:
 bootstrap_sd_dotplot_d36_ds36_nl900_m50_w50.png
 sd_summary_d36_ds36_nl900_m50_w50.txt
 spread_summary_bar_d36_ds36_nl900_m50_w50.png
