LABEL = nl100_m50_w50
CHUNK_DIR = results/bootstrap_runs/nl100_m50_w50/chunk_summaries
OUT_DIR = results/bootstrap_runs/nl100_m50_w50/sd_diagnostics
Number of runs = 300
SORT_BOOT_SD = True
INCLUDE_SUMMARY_BAR = True

Multi-run NS SD = 0.4995869964
Mean bootstrap SD = 0.5128905602
Median bootstrap SD = 0.5136172621
Mean bootstrap SD / multi-run SD = 1.0266291235
Median bootstrap SD / multi-run SD = 1.0280837287

Per-run bootstrap SDs:
 Run 001: 0.5253177408
 Run 002: 0.5140807932
 Run 003: 0.5303644052
 Run 004: 0.5012478717
 Run 005: 0.5618073888
 Run 006: 0.5334016798
 Run 007: 0.5066458297
 Run 008: 0.5242439465
 Run 009: 0.4615184761
 Run 010: 0.5216617251
 Run 011: 0.5367907107
 Run 012: 0.5145462084
 Run 013: 0.4812060484
 Run 014: 0.5432406661
 Run 015: 0.5062499913
 Run 016: 0.5456483373
 Run 017: 0.5262840010
 Run 018: 0.5325900147
 Run 019: 0.4866498709
 Run 020: 0.4734412317
 Run 021: 0.5055813885
 Run 022: 0.4842232148
 Run 023: 0.5320938582
 Run 024: 0.5579987833
 Run 025: 0.5230840201
 Run 026: 0.5160326405
 Run 027: 0.4560464253
 Run 028: 0.5164073675
 Run 029: 0.4786887164
 Run 030: 0.5240072341
 Run 031: 0.5247936491
 Run 032: 0.4775997189
 Run 033: 0.5084617000
 Run 034: 0.5219944011
 Run 035: 0.5184294429
 Run 036: 0.5129630806
 Run 037: 0.4681142433
 Run 038: 0.5159574036
 Run 039: 0.5424065149
 Run 040: 0.5179595880
 Run 041: 0.4846349019
 Run 042: 0.5657586232
 Run 043: 0.5178816935
 Run 044: 0.4864439246
 Run 045: 0.5140856972
 Run 046: 0.4709903701
 Run 047: 0.5254142885
 Run 048: 0.5016785231
 Run 049: 0.4799630463
 Run 050: 0.4501252011
 Run 051: 0.4858357652
 Run 052: 0.5813449507
 Run 053: 0.5328604913
